# Skipped 418 functions
# Format: address | function_name | reason
#================================================================================

0x100405ed | ?FindHandlerForForeignException@@YAXPAUEHExceptionRecord@@PAUEHRegistrationNode@@PAU_CONTEXT@@PAXPBU_s_FuncInfo@@HH1@Z | library function
0x100406df | ?FindHandler@@YAXPAUEHExceptionRecord@@PAUEHRegistrationNode@@PAU_CONTEXT@@PAXPBU_s_FuncInfo@@EH1@Z | library function
0x10040a4d | ___InternalCxxFrameHandler | library function
0x10040b31 | ?terminate@@YAXXZ | library function
0x10040b6a | ?unexpected@@YAXXZ | library function
0x10040b7d | ?_inconsistency@@YAXXZ | library function
0x10040bb4 | __initp_eh_hooks | library function
0x10040bd0 | __CallSettingFrame@12 | library function
0x10040c1c | _strcpy_s | library function
0x10040c90 | _strlen | library function
0x10040d30 | _strrchr | library function
0x10040d5d | _CPtoLCID | library function
0x10040d8c | ?setSBCS@@YAXPAUthreadmbcinfostruct@@@Z | library function
0x10040de1 | ?setSBUpLow@@YAXPAUthreadmbcinfostruct@@@Z | library function
0x10040f6b | ___updatetmbcinfo | library function
0x1004100f | ?getSystemCP@@YAHH@Z | library function
0x10041089 | __setmbcp_nolock | library function
0x10041262 | __setmbcp | library function
0x100413fc | ___initmbctable | library function
0x1004141a | ___freetlocinfo | library function
0x1004155a | ___addlocaleref | library function
0x100415e0 | ___removelocaleref | library function
0x1004166c | __updatetlocinfoEx_nolock | library function
0x100416aa | ___updatetlocinfo | library function
0x10041720 | __isdigit_l | library function
0x1004176f | _isdigit | library function
0x10041798 | __tolower_l | library function
0x100418af | _tolower | library function
0x10041a22 | __fptostr | library function
0x10041adf | ___dtold | library function
0x10041b9a | __fltout2 | library function
0x10041c30 | __alldvrm | library function
0x10041d10 | __aullshr | library function
0x10041d2f | __fptrap | library function
0x10041d38 | __controlfp_s | library function
0x10041dac | ___crtInitCritSecNoSpinCount@8 | library function
0x10041dbc | ___crtInitCritSecAndSpinCount | library function
0x10041e90 | __ValidateImageBase | library function
0x10041ec0 | __FindPESection | library function
0x10041f10 | __IsNonwritableInCurrentImage | library function
0x10041fcb | __initp_misc_winsig | library function
0x10041fe4 | _siglookup | library function
0x10042025 | _raise | library function
0x1004239c | _strcat_s | library function
0x1004240d | _strncpy_s | library function
0x100424c0 | __set_error_mode | library function
0x10042506 | __freea | library function
0x10042521 | __lseeki64_nolock | library function
0x100425a4 | __lseeki64 | library function
0x100426bd | __getbuf | library function
0x10042701 | __isatty | library function
0x1004275f | __wctomb_s_l | library function
0x100428be | _wctomb_s | library function
0x100428d9 | __isleadbyte_l | library function
0x1004290f | _isleadbyte | library function
0x10042920 | __aulldvrm | library function
0x100429b5 | __calloc_impl | library function
0x10042ad3 | _has_osfxsr_set | library function
0x10042b23 | __get_sse2_info | library function
0x10042b93 | __frnd | library function
0x10042ba4 | __set_osfhnd | library function
0x10042c21 | __free_osfhnd | library function
0x10042ca2 | __get_osfhandle | library function
0x10042d13 | ___lock_fhandle | library function
0x10042db3 | __unlock_fhandle | library function
0x10042dd5 | __alloc_osfhnd | library function
0x10042f74 | __commit | library function
0x10043055 | __fcloseall | library function
0x100430f4 | __tsopen_nolock | library function
0x1004384d | __sopen_helper | library function
0x10043919 | __sopen_s | library function
0x10043937 | __mbsicmp_l | library function
0x10043b51 | __mbsicmp | library function
0x10043b64 | __mbsnbcmp_l | library function
0x10043ccd | __mbsnbcmp | library function
0x10043ce4 | __global_unwind2 | library function
0x10043d04 | __unwind_handler | library function
0x10043d49 | __local_unwind2 | library function
0x10043dcd | __abnormal_termination | library function
0x10043df0 | __NLG_Notify1 | library function
0x10043df9 | __NLG_Notify | library function
0x10043e18 | __NLG_Call | library function
0x10043e1b | __putwch_nolock | library function
0x10043edd | __mbtowc_l | library function
0x10043ff0 | _mbtowc | library function
0x10044007 | __87except | library function
0x10044110 | unknown_libname_4 | library function
0x10044227 | unknown_libname_5 | library function
0x100446c6 | unknown_libname_6 | library function
0x100446d9 | unknown_libname_7 | library function
0x100448ec | unknown_libname_16 | library function
0x10044901 | unknown_libname_17 | library function
0x10044916 | unknown_libname_18 | library function
0x10044b1c | unknown_libname_19 | library function
0x10044bce | unknown_libname_20 | library function
0x10044dd4 | unknown_libname_21 | library function
0x10044e9b | ?x_ismbbtype_l@@YAHPAUlocaleinfo_struct@@IHH@Z | library function
0x10044eec | __ismbblead | library function
0x10044eff | __EH_prolog3 | library function
0x10044f32 | __EH_prolog3_catch | library function
0x10044f68 | unknown_libname_26 | library function
0x10044f75 | ?__crtLCMapStringA_stat@@YAHPAUlocaleinfo_struct@@KKPBDHPADHHH@Z | library function
0x10045317 | ___crtLCMapStringA | library function
0x1004535a | ?__crtGetStringTypeA_stat@@YAHPAUlocaleinfo_struct@@KPBDHPAGHHH@Z | library function
0x10045512 | ___crtGetStringTypeA | library function
0x10045552 | __free_lc_time | library function
0x100456e2 | ___free_lconv_num | library function
0x10045722 | ___free_lconv_mon | library function
0x100457b0 | _strcspn | library function
0x100457f6 | _strncmp | library function
0x100458c0 | _strpbrk | library function
0x10045900 | __isctype_l | library function
0x1004643a | ___strgtold12_l | library function
0x10046afa | _$I10_OUTPUT | library function
0x100473c0 | __hw_cw | library function
0x1004744e | ___hw_cw_sse2 | library function
0x100474ee | __control87 | library function
0x10047800 | __allmul | library function
0x10047834 | _atol | library function
0x10047845 | __chsize_nolock | library function
0x100479f9 | __setmode_nolock | library function
0x10047ae9 | ___ascii_stricmp | library function
0x10047b1e | __stricmp_l | library function
0x10047bf1 | ___initconout | library function
0x10047c10 | ___termcon | library function
0x10047c3d | ?strtoxl@@YAKPAUlocaleinfo_struct@@PBDPAPBDHH@Z | library function
0x10047e68 | _strtol | library function
0x10047e91 | ___ansicp | library function
0x10047ed8 | ___convertcp | library function
0x1004808a | ___mtold12 | library function
0x10048260 | ___ascii_strnicmp | library function
0x100482d0 | found_bx | library function
0x100482e0 | _strchr | library function
0x100482e6 | ___from_strstr_to_strchr | library function
0x100483cb | ?_Xlen@_String_base@std@@SAXXZ | library function
0x1004840a | ?_Xran@_String_base@std@@SAXXZ | library function
