# Strings exported from IDA
# Format: address | length | type | string
#================================================================================

0x1006cd5c | 91 | ASCII | ?cont@Binary_Stream@Utility@Outpop@@QAEXV?$Smart_Ptr@VBinary_Stream@Utility@Outpop@@@23@@Z
0x1006cdba | 44 | ASCII | ?cancel@Timer_Queue@Utility@Outpop@@QAEXJ@Z
0x1006cde8 | 40 | ASCII | ?msec@Time_Value@Utility@Outpop@@QAEKXZ
0x1006ce12 | 72 | ASCII | ?get_packet_type@Binary_Stream@Utility@Outpop@@QAE?AW4EPacketType@23@XZ
0x1006ce5c | 46 | ASCII | ?reset_all@Stream_Base@Utility@Outpop@@QAEXXZ
0x1006ce8c | 51 | ASCII | ?get_base_ptr@Stream_Base@Utility@Outpop@@QAEPADXZ
0x1006cec2 | 53 | ASCII | ?free@Sect_Block_Allocator@Utility@Outpop@@QAEXPAX@Z
0x1006cefa | 55 | ASCII | ?malloc@Sect_Block_Allocator@Utility@Outpop@@QAEPAXI@Z
0x1006cf34 | 35 | ASCII | ??_7Ref_Object@Utility@Outpop@@6B@
0x1006cf5a | 37 | ASCII | ??1Ref_Object@Utility@Outpop@@UAE@XZ
0x1006cf82 | 37 | ASCII | ??0Ref_Object@Utility@Outpop@@QAE@XZ
0x1006cfaa | 44 | ASCII | ?read@OS_Buffer@Utility@Outpop@@QAEHPADHH@Z
0x1006cfd8 | 51 | ASCII | ?set_write_pos@Stream_Base@Utility@Outpop@@QAEXH@Z
0x1006d00e | 54 | ASCII | ?get_reliable_id@Binary_Stream@Utility@Outpop@@QAEGXZ
0x1006d046 | 54 | ASCII | ?get_sequence_id@Binary_Stream@Utility@Outpop@@QAEIXZ
0x1006d07e | 49 | ASCII | ??GUtility@Outpop@@YA?AVTime_Value@01@ABV201@0@Z
0x1006d0b2 | 45 | ASCII | ?read@Stream_Base@Utility@Outpop@@QAEHPADH@Z
0x1006d0e2 | 49 | ASCII | ?get_read_pos@Stream_Base@Utility@Outpop@@QAEHXZ
0x1006d116 | 50 | ASCII | ?set_read_pos@Stream_Base@Utility@Outpop@@QAEXH@Z
0x1006d14a | 59 | ASCII | ?write_7bit_value@Utility@Outpop@@YAXIAAVStream_Base@12@@Z
0x1006d188 | 57 | ASCII | ?read_7bit_value@Utility@Outpop@@YAIAAVStream_Base@12@@Z
0x1006d1c2 | 12 | ASCII | Utility.dll
0x1006d1d0 | 9 | ASCII | WSAIoctl
0x1006d1dc | 8 | ASCII | WSARecv
0x1006d1e6 | 8 | ASCII | WSASend
0x1006d1f0 | 12 | ASCII | WSARecvFrom
0x1006d1fe | 10 | ASCII | WSASendTo
0x1006d208 | 11 | ASCII | WS2_32.dll
0x1006d216 | 21 | ASCII | GetAcceptExSockaddrs
0x1006d22e | 9 | ASCII | AcceptEx
0x1006d238 | 12 | ASCII | MSWSOCK.dll
0x1006d246 | 13 | ASCII | GetLastError
0x1006d256 | 19 | ASCII | GetCurrentThreadId
0x1006d26c | 20 | ASCII | GetCurrentProcessId
0x1006d282 | 20 | ASCII | WriteProfileStringA
0x1006d298 | 18 | ASCII | GetProfileStringA
0x1006d2ac | 17 | ASCII | GetComputerNameA
0x1006d2c0 | 23 | ASCII | CreateIoCompletionPort
0x1006d2da | 26 | ASCII | GetQueuedCompletionStatus
0x1006d2f6 | 12 | ASCII | CloseHandle
0x1006d304 | 27 | ASCII | PostQueuedCompletionStatus
0x1006d322 | 8 | ASCII | TlsFree
0x1006d32c | 23 | ASCII | InterlockedExchangeAdd
0x1006d346 | 20 | ASCII | InterlockedExchange
0x1006d35c | 21 | ASCII | InterlockedIncrement
0x1006d374 | 21 | ASCII | InterlockedDecrement
