# Strings exported from IDA
# Format: address | length | type | string
#================================================================================

0x1002dd78 | 82 | ASCII | ??4?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAEAAV01@ABV01@@Z
0x1002ddcc | 77 | ASCII | ??0?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAE@ABV01@@Z
0x1002de1c | 71 | ASCII | ??0?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAE@XZ
0x1002de64 | 12 | ASCII | MSVCP80.dll
0x1002de72 | 13 | ASCII | ??3@YAXPAX@Z
0x1002de82 | 15 | ASCII | _vswprintf_c_l
0x1002de94 | 14 | ASCII | ??_V@YAXPAX@Z
0x1002dea4 | 8 | ASCII | wprintf
0x1002deb6 | 30 | ASCII | ??0exception@std@@QAE@ABQBD@Z
0x1002ded6 | 25 | ASCII | ??1exception@std@@UAE@XZ
0x1002def2 | 13 | ASCII | ??2@YAPAXI@Z
0x1002df02 | 25 | ASCII | ??0exception@std@@QAE@XZ
0x1002df1e | 31 | ASCII | ??0exception@std@@QAE@ABV01@@Z
0x1002df40 | 26 | ASCII | _invalid_parameter_noinfo
0x1002df5c | 8 | ASCII | sprintf
0x1002df66 | 30 | ASCII | ?what@exception@std@@UBEPBDXZ
0x1002df86 | 10 | ASCII | _purecall
0x1002df92 | 7 | ASCII | sscanf
0x1002df9c | 8 | ASCII | strncmp
0x1002dfae | 7 | ASCII | malloc
0x1002dfb8 | 7 | ASCII | strstr
0x1002dfc2 | 7 | ASCII | _errno
0x1002dfcc | 7 | ASCII | strchr
0x1002dfd6 | 8 | ASCII | strncpy
0x1002dfe0 | 8 | ASCII | toupper
0x1002dfea | 6 | ASCII | abort
0x1002dff2 | 8 | ASCII | memmove
0x1002dffc | 7 | ASCII | calloc
0x1002e006 | 8 | ASCII | realloc
0x1002e00e | 12 | ASCII | MSVCR80.dll
0x1002e01c | 18 | ASCII | ?terminate@@YAXXZ
0x1002e030 | 8 | ASCII | _unlock
0x1002e03a | 16 | ASCII | _encode_pointer
0x1002e04c | 12 | ASCII | __dllonexit
0x1002e05a | 6 | ASCII | _lock
0x1002e062 | 8 | ASCII | _onexit
0x1002e06c | 16 | ASCII | _decode_pointer
0x1002e07e | 12 | ASCII | _malloc_crt
0x1002e08c | 14 | ASCII | _encoded_null
0x1002e09c | 10 | ASCII | _initterm
0x1002e0a8 | 12 | ASCII | _initterm_e
0x1002e0b6 | 11 | ASCII | _amsg_exit
0x1002e0c4 | 13 | ASCII | _adjust_fdiv
0x1002e0d4 | 16 | ASCII | __CppXcptFilter
0x1002e0e6 | 19 | ASCII | _crt_debugger_hook
0x1002e0fc | 51 | ASCII | ?_type_info_dtor_internal_method@type_info@@QAEXXZ
0x1002e132 | 24 | ASCII | _except_handler4_common
0x1002e14c | 33 | ASCII | __clean_type_info_names_internal
0x1002e170 | 20 | ASCII | InterlockedExchange
0x1002e186 | 27 | ASCII | InterlockedCompareExchange
0x1002e1a4 | 17 | ASCII | TerminateProcess
0x1002e1b8 | 18 | ASCII | GetCurrentProcess
0x1002e1cc | 25 | ASCII | UnhandledExceptionFilter
0x1002e1e8 | 28 | ASCII | SetUnhandledExceptionFilter
0x1002e206 | 18 | ASCII | IsDebuggerPresent
0x1002e21a | 24 | ASCII | QueryPerformanceCounter
0x1002e234 | 13 | ASCII | GetTickCount
0x1002e244 | 24 | ASCII | GetSystemTimeAsFileTime
0x1002e25e | 7 | ASCII | memcpy
0x1002e268 | 19 | ASCII | __CxxFrameHandler3
0x1002e27e | 19 | ASCII | _CxxThrowException
0x1002e5ac | 15 | ASCII | P2PNetwork.dll
0x1002e5bb | 41 | ASCII | ??0P2P_Context@P2P@Outpop@@QAE@ABV012@@Z
0x1002e5e4 | 34 | ASCII | ??0P2P_Context@P2P@Outpop@@QAE@XZ
0x1002e606 | 34 | ASCII | ??0Peer@P2P@Outpop@@QAE@ABV012@@Z
0x1002e628 | 91 | ASCII | ??0Peer@P2P@Outpop@@QAE@ABV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@Z
0x1002e683 | 34 | ASCII | ??1P2P_Context@P2P@Outpop@@UAE@XZ
0x1002e6a5 | 27 | ASCII | ??1Peer@P2P@Outpop@@UAE@XZ
0x1002e6c0 | 47 | ASCII | ??4P2P_Context@P2P@Outpop@@QAEAAV012@ABV012@@Z
