# Strings exported from IDA
# Format: address | length | type | string
#================================================================================

0x101bd8f8 | 17 | ASCII | CustomProperties
0x101bd90c | 6 | ASCII | Actor
0x101bd948 | 8 | ASCII | BakedTM
0x101bd998 | 12 | ASCII | ExcludeList
0x101bd9a4 | 10 | ASCII | LightData
0x101bd9b0 | 12 | ASCII | ExcludeList
0x101bd9e4 | 14 | ASCII | OcclusionList
0x101bda10 | 7 | ASCII | Script
0x101bda80 | 11 | ASCII | GeomObject
0x101bda8c | 11 | ASCII | StaticMesh
0x101bda98 | 7 | ASCII | noclip
0x101bdaac | 10 | ASCII | invisible
0x101bdac8 | 15 | ASCII | CollisionModel
0x101bdadc | 18 | ASCII | RelativeTransform
0x101bdb20 | 6 | ASCII | Light
0x101bdb28 | 6 | ASCII | Light
0x101bdb30 | 19 | ASCII | SphericalHarmonics
0x101bdb50 | 12 | ASCII | Script name
0x101bdb5c | 10 | ASCII | Scripting
0x101bdb70 | 23 | ASCII | Script includes model?
0x101bdb88 | 10 | ASCII | Scripting
0x101bdb94 | 13 | ASCII | IncludeModel
0x101bdba4 | 17 | ASCII | Script Parameter
0x101bdbb8 | 10 | ASCII | Scripting
0x101bdbc4 | 26 | ASCII | Unexpected type: %s on %s
0x101bdbe0 | 19 | ASCII | SphericalHarmonics
0x101bdc0c | 19 | ASCII | SphericalHarmonics
0x101bdc20 | 11 | ASCII | InBlockers
0x101bdc48 | 12 | ASCII | OutBlockers
0x101bdc70 | 9 | ASCII | Settings
0x101be014 | 8 | ASCII | Enabled
0x101be034 | 19 | ASCII | SphericalHarmonics
0x101be048 | 13 | ASCII | ReceiverName
0x101be058 | 11 | ASCII | InBlockers
0x101be064 | 6 | ASCII | Count
0x101be06c | 8 | ASCII | Blocker
0x101be07c | 12 | ASCII | OutBlockers
0x101be088 | 6 | ASCII | Count
0x101be090 | 8 | ASCII | Blocker
0x101be0a0 | 9 | ASCII | Settings
0x101be0ac | 8 | ASCII | NumRays
0x101be0b4 | 6 | ASCII | Order
0x101be0bc | 12 | ASCII | NumChannels
0x101be0c8 | 11 | ASCII | NumBounces
0x101be0d4 | 21 | ASCII | SubsurfaceScattering
0x101be0ec | 12 | ASCII | LengthScale
0x101be0f8 | 8 | ASCII | Diffuse
0x101be100 | 10 | ASCII | Absoption
0x101be10c | 18 | ASCII | ReducedScattering
